dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,lat,lon
0.0,313.0,0.32,46.15,50.0,50,48.83336,12.96204
0.025,313.1,0.34,36.54,50.0,50,48.83322,12.96191
0.05,313.2,0.35,29.28,50.0,50,48.833,12.96192
0.075,313.3,0.35,37.87,50.0,50,48.83277,12.96193
0.1,313.4,0.36,66.14,49.7,50,48.83255,12.96195
0.125,313.5,0.41,69.93,48.3,50,48.83232,12.96197
0.15,313.6,0.41,72.8,47.4,50,48.83213,12.96193
0.175,313.7,0.45,81.06,44.9,50,48.83208,12.9616
0.2,313.8,0.5,74.72,46.8,50,48.83201,12.96128
0.225,313.9,0.54,19.0,50.0,50,48.83192,12.96096
0.25,314.0,0.59,15.31,50.0,50,48.8318,12.96068
0.275,314.2,0.63,11.15,50.0,50,48.83167,12.9604
0.3,314.4,0.68,3.64,50.0,50,48.83153,12.96013
0.325,314.6,0.72,1.56,50.0,50,48.8314,12.95985
0.35,314.8,0.77,6.11,50.0,50,48.83126,12.95958
0.375,315.0,0.81,66.44,49.6,50,48.83113,12.95931
0.4,315.2,0.81,75.63,46.5,50,48.83099,12.95904
0.425,315.4,0.81,79.65,45.3,50,48.83088,12.95877
0.45,315.6,0.81,85.68,43.7,50,48.83104,12.95853
0.475,315.9,0.8,101.99,40.0,50,48.83122,12.95834
0.5,316.1,0.8,43.47,48.8,50,48.83142,12.95818
0.525,316.3,0.79,37.54,50.0,50,48.83163,12.95806
0.55,316.5,0.79,34.36,50.0,50,48.83186,12.95809
0.575,316.6,0.78,28.51,50.0,50,48.83208,12.95811
0.6,316.8,0.77,11.03,50.0,50,48.8323,12.95811
0.625,317.0,0.77,13.89,50.0,50,48.83253,12.95809
0.65,317.2,0.76,10.72,50.0,50,48.83275,12.95807
0.675,317.4,0.75,11.86,50.0,50,48.83298,12.95808
0.7,317.6,0.74,12.0,50.0,50,48.8332,12.95812
0.725,317.8,0.73,56.7,50.0,50,48.83342,12.95816
0.75,318.0,0.72,70.76,48.0,50,48.83364,12.95823
0.775,318.1,0.71,84.49,44.0,50,48.83386,12.9583
0.8,318.3,0.71,90.16,42.6,50,48.83397,12.95811
0.825,318.5,0.7,94.54,41.6,50,48.83404,12.95778
0.85,318.7,0.69,47.6,50.0,50,48.83417,12.9575
0.875,318.8,0.68,28.71,50.0,50,48.83433,12.95727
0.9,319.0,0.67,16.94,50.0,50,48.83451,12.95706
0.925,319.2,0.66,8.81,50.0,50,48.83469,12.95685
0.95,319.3,0.66,46.49,50.0,50,48.83487,12.95665
0.975,319.5,0.65,63.81,50.0,50,48.83504,12.95643
1.0,319.6,0.65,63.81,50.0,50,48.83522,12.95622
1.025,319.8,0.64,61.51,50.0,50,48.83539,12.95628
1.05,320.0,0.64,61.2,50.0,50,48.83557,12.95648
1.075,320.1,0.64,18.63,50.0,50,48.83575,12.95669
1.1,320.3,0.63,1.14,50.0,50,48.83593,12.95689
1.125,320.4,0.63,2.31,50.0,50,48.83611,12.9571
1.15,320.6,0.63,15.38,50.0,50,48.83629,12.9573
1.175,320.8,0.63,23.67,50.0,50,48.83647,12.9575
1.2,320.9,0.63,30.5,50.0,50,48.83666,12.95769
1.225,321.1,0.63,31.68,50.0,50,48.83687,12.95779
1.25,321.2,0.63,40.78,50.0,50,48.83707,12.95795
1.275,321.4,0.63,30.25,50.0,50,48.83728,12.95806
1.3,321.5,0.63,28.79,50.0,50,48.83749,12.95816
1.325,321.7,0.63,23.52,50.0,50,48.83772,12.95818
1.35,321.9,0.63,25.32,50.0,50,48.83794,12.95819
1.375,322.0,0.63,15.26,50.0,50,48.83816,12.95814
1.4,322.2,0.63,12.72,50.0,50,48.83839,12.95808
1.425,322.3,0.63,8.66,50.0,50,48.8386,12.95799
1.45,322.5,0.63,13.3,50.0,50,48.83882,12.9579
1.475,322.7,0.63,14.95,50.0,50,48.83904,12.95781
1.5,322.8,0.63,16.33,50.0,50,48.83925,12.95774
1.525,323.0,0.63,18.56,50.0,50,48.83948,12.95771
1.55,323.1,0.63,16.03,50.0,50,48.8397,12.95773
1.575,323.3,0.63,16.91,50.0,50,48.83993,12.95776
1.6,323.5,0.63,12.55,50.0,50,48.84015,12.9578
1.625,323.6,0.63,16.28,50.0,50,48.84037,12.95785
1.65,323.8,0.63,19.04,50.0,50,48.84059,12.95794
1.675,323.9,0.63,21.99,50.0,50,48.8408,12.95805
1.7,324.1,0.63,20.11,50.0,50,48.84102,12.95812
1.725,324.2,0.63,19.21,50.0,50,48.84124,12.95815
1.75,324.4,0.63,19.63,50.0,50,48.84147,12.95816
1.775,324.6,0.63,17.34,50.0,50,48.84169,12.95813
1.8,324.7,0.63,20.65,57.3,100,48.84191,12.95809
1.825,324.9,0.63,23.81,63.7,100,48.84213,12.95801
1.85,325.0,0.63,23.31,69.5,100,48.84235,12.95792
1.875,325.2,0.63,23.38,74.9,100,48.84255,12.95778
1.9,325.4,0.63,21.29,79.9,100,48.84273,12.95758
1.925,325.5,0.63,15.08,84.6,100,48.84292,12.95739
1.95,325.7,0.63,7.33,88.0,100,48.84308,12.95716
1.975,325.8,0.63,10.72,88.0,100,48.84325,12.95692
2.0,326.0,0.63,8.9,88.0,100,48.84341,12.95669
2.025,326.1,0.63,9.14,88.0,100,48.84357,12.95645
2.05,326.3,0.63,13.42,88.0,100,48.84375,12.95623
2.075,326.5,0.63,13.96,88.0,100,48.84393,12.95604
2.1,326.6,0.63,12.87,88.0,100,48.84412,12.95585
2.125,326.8,0.63,10.47,88.0,100,48.84431,12.95568
2.15,326.9,0.63,11.47,88.0,100,48.84452,12.95553
2.175,327.1,0.63,12.21,88.0,100,48.84472,12.95539
2.2,327.3,0.63,12.12,88.0,100,48.84493,12.95527
2.225,327.4,0.63,10.31,88.0,100,48.84514,12.95515
2.25,327.6,0.63,9.91,88.0,100,48.84536,12.95507
2.275,327.7,0.63,12.15,88.0,100,48.84558,12.95501
2.3,327.9,0.63,7.02,88.0,100,48.8458,12.95494
2.325,328.0,0.63,8.08,88.0,100,48.84602,12.95489
2.35,328.2,0.63,8.39,88.0,100,48.84625,12.95486
2.375,328.4,0.63,9.74,88.0,100,48.84647,12.95483
2.4,328.5,0.63,5.65,88.0,100,48.8467,12.95483
2.425,328.7,0.63,7.03,88.0,100,48.84692,12.95482
2.45,328.8,0.63,6.69,88.0,100,48.84715,12.95484
2.475,329.0,0.63,7.64,88.0,100,48.84737,12.95486
2.5,329.2,0.63,5.93,88.0,100,48.84759,12.95488
2.525,329.3,0.63,7.12,88.0,100,48.84782,12.95492
2.55,329.5,0.63,7.67,88.0,100,48.84804,12.95498
2.575,329.6,0.63,5.85,88.0,100,48.84826,12.95504
2.6,329.8,0.63,4.84,88.0,100,48.84848,12.95511
2.625,329.9,0.63,7.98,88.0,100,48.8487,12.95519
2.65,330.1,0.63,6.79,88.0,100,48.84892,12.95527
2.675,330.3,0.63,4.81,88.0,100,48.84913,12.95536
2.7,330.4,0.63,6.46,88.0,100,48.84934,12.95548
2.725,330.6,0.63,6.93,88.0,100,48.84956,12.9556
2.75,330.7,0.63,2.96,88.0,100,48.84977,12.95572
2.775,330.9,0.63,2.96,88.0,100,48.84997,12.95585
2.8,331.1,0.63,3.11,88.0,100,48.85018,12.95598
2.825,331.2,0.63,1.67,88.0,100,48.85039,12.95612
2.85,331.4,0.63,0.45,88.0,100,48.85059,12.95626
2.875,331.5,0.63,0.97,88.0,100,48.8508,12.9564
2.9,331.7,0.63,2.62,88.0,100,48.851,12.95654
2.925,331.8,0.63,3.84,88.0,100,48.85121,12.95668
2.95,332.0,0.63,3.95,88.0,100,48.85141,12.95683
