dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
0.0,320.1,-1.2,0.88,20.0,20,osm,48.83335,12.96191
0.025,319.8,-1.17,1.81,20.0,20,stvo,48.83313,12.96192
0.05,319.5,-1.14,1.48,20.0,20,osm,48.83291,12.96193
0.075,319.2,-1.1,39.94,20.0,20,osm,48.83268,12.96194
0.1,318.9,-1.07,65.35,20.0,20,osm,48.83246,12.96196
0.125,318.6,-1.1,70.58,20.0,20,osm,48.83223,12.96198
0.15,318.3,-1.13,74.7,20.0,20,osm,48.83211,12.9618
0.175,318.1,-1.14,81.93,20.0,20,osm,48.83206,12.96146
0.2,317.9,-1.14,43.62,20.0,20,osm,48.83198,12.96115
0.225,317.7,-1.13,18.23,20.0,20,osm,48.83188,12.96084
0.25,317.5,-1.11,12.47,20.0,20,osm,48.83174,12.96057
0.275,317.1,-1.08,8.37,30.0,30,osm,48.83161,12.96029
0.3,316.7,-1.04,1.26,30.0,30,osm,48.83148,12.96002
0.325,316.4,-0.98,1.15,30.0,30,osm,48.83134,12.95974
0.35,316.1,-0.93,36.75,30.0,30,osm,48.83121,12.95947
0.375,315.8,-0.87,70.05,30.0,30,osm,48.83107,12.9592
0.4,315.6,-0.81,75.87,30.0,30,osm,48.83093,12.95893
0.425,315.4,-0.67,81.7,40.2,50,osm,48.83095,12.95868
0.45,315.2,-0.53,95.19,41.4,50,osm,48.83112,12.95846
0.475,315.1,-0.4,70.08,48.3,50,osm,48.83131,12.95827
0.5,315.1,-0.29,38.39,50.0,50,osm,48.83151,12.95812
0.525,315.0,-0.19,35.64,50.0,50,osm,48.83173,12.95807
0.55,315.1,-0.1,30.1,50.0,50,osm,48.83195,12.9581
0.575,315.1,-0.03,17.08,50.0,50,osm,48.83218,12.95811
0.6,315.2,0.02,14.29,50.0,50,osm,48.8324,12.9581
0.625,315.2,0.06,13.58,50.0,50,osm,48.83262,12.95808
0.65,315.2,0.06,11.47,50.0,50,osm,48.83285,12.95806
0.675,315.3,0.06,12.53,50.0,50,osm,48.83307,12.95809
0.7,315.3,0.03,15.71,50.0,50,osm,48.8333,12.95814
0.725,315.3,-0.01,74.18,46.9,50,osm,48.83352,12.95819
0.75,315.3,-0.07,80.92,44.9,50,osm,48.83374,12.95826
0.775,315.3,-0.12,93.59,41.8,50,stvo,48.83395,12.95829
0.8,315.3,-0.17,97.88,40.9,50,osm,48.834,12.95796
0.825,315.2,-0.22,97.69,40.9,50,stvo,48.83409,12.95765
0.85,315.1,-0.26,31.68,48.8,50,osm,48.83424,12.9574
0.875,315.1,-0.3,24.14,50.0,50,osm,48.83441,12.95717
0.9,315.0,-0.33,12.67,50.0,50,osm,48.83459,12.95697
0.925,314.9,-0.37,10.8,50.0,50,osm,48.83477,12.95677
0.95,314.7,-0.39,67.06,49.4,50,osm,48.83495,12.95656
0.975,314.6,-0.4,68.69,48.8,50,osm,48.83512,12.95634
1.0,314.5,-0.39,68.58,48.8,50,osm,48.83529,12.95615
1.025,314.4,-0.35,65.49,49.9,50,osm,48.83547,12.95637
1.05,314.3,-0.29,61.56,50.0,50,stvo,48.83565,12.95657
1.075,314.2,-0.22,1.81,50.0,50,stvo,48.83583,12.95678
1.1,314.1,-0.14,2.18,50.0,50,stvo,48.83601,12.95698
1.125,314.0,-0.06,6.99,50.0,50,osm,48.83619,12.95719
1.15,314.0,0.02,13.28,56.7,70,osm,48.83637,12.95739
1.175,314.0,0.1,17.53,62.7,70,osm,48.83655,12.95758
1.2,314.1,0.18,23.57,68.1,70,osm,48.83675,12.95774
1.225,314.2,0.27,27.77,70.0,70,osm,48.83695,12.95786
1.25,314.3,0.35,28.99,70.0,70,osm,48.83716,12.958
1.275,314.4,0.43,26.47,70.0,70,osm,48.83737,12.95811
1.3,314.6,0.51,28.64,70.0,70,osm,48.83759,12.95817
1.325,314.7,0.56,24.21,70.0,70,osm,48.83781,12.95818
1.35,314.9,0.59,20.34,70.0,70,osm,48.83804,12.95817
1.375,315.0,0.61,14.31,67.6,70,osm,48.83826,12.95811
1.4,315.1,0.63,10.54,59.5,70,osm,48.83848,12.95804
1.425,315.3,0.64,20.12,50.0,50,osm,48.8387,12.95795
1.45,315.5,0.64,24.14,50.0,50,osm,48.83891,12.95786
1.475,315.7,0.65,23.27,50.0,50,osm,48.83913,12.95777
1.5,315.9,0.66,29.74,56.7,70,osm,48.83935,12.95779
1.525,316.0,0.67,31.51,62.7,70,osm,48.83957,12.95786
1.55,316.2,0.68,32.89,66.4,70,osm,48.83979,12.95794
1.575,316.4,0.67,48.49,58.0,70,osm,48.84,12.95807
1.6,316.5,0.66,59.54,52.4,70,osm,48.84021,12.95818
1.625,316.6,0.66,55.76,54.1,70,osm,48.84043,12.95817
1.65,316.8,0.67,73.46,47.2,50,osm,48.84062,12.95801
1.675,317.0,0.7,85.37,43.7,50,osm,48.84078,12.95777
1.7,317.2,0.74,82.73,44.4,50,osm,48.84095,12.95755
1.725,317.3,0.8,75.4,46.5,50,osm,48.84116,12.95745
1.75,317.5,0.88,75.72,46.4,50,osm,48.84137,12.95757
1.775,317.7,0.97,57.42,50.0,50,osm,48.84153,12.95779
1.8,317.9,1.05,41.95,50.0,50,osm,48.84167,12.95805
1.825,318.1,1.12,28.2,50.0,50,osm,48.84181,12.95833
1.85,318.4,1.2,23.86,50.0,50,osm,48.84194,12.95861
1.875,318.8,1.3,22.01,50.0,50,osm,48.842,12.95893
1.9,319.1,1.4,21.76,50.0,50,osm,48.84205,12.95926
1.925,319.6,1.5,8.52,50.0,50,osm,48.8421,12.9596
1.95,320.0,1.59,9.4,50.0,50,osm,48.84215,12.95993
1.975,320.4,1.68,12.92,50.0,50,osm,48.8422,12.96026
2.0,320.8,1.75,14.78,50.0,50,osm,48.84225,12.9606
2.025,321.2,1.79,16.54,50.0,50,osm,48.84233,12.96092
2.05,321.7,1.81,17.21,50.0,50,osm,48.84243,12.96122
2.075,322.2,1.82,11.64,50.0,50,osm,48.84254,12.96152
2.1,322.7,1.83,7.21,50.0,50,osm,48.84266,12.9618
2.125,323.2,1.85,4.18,50.0,50,stvo,48.84279,12.96208
2.15,323.7,1.86,2.58,50.0,50,stvo,48.84292,12.96236
2.175,324.1,1.88,3.54,50.0,50,osm,48.84305,12.96264
2.2,324.6,1.91,3.82,50.0,50,osm,48.84318,12.96292
2.225,325.0,1.94,7.34,50.0,50,osm,48.8433,12.9632
2.25,325.5,1.97,8.12,50.0,50,osm,48.84342,12.9635
2.275,325.9,2.0,8.18,50.0,50,osm,48.84353,12.96379
2.3,326.4,2.02,6.49,50.0,50,osm,48.84363,12.9641
