route,route_name,total_km,car,car_type,consumption,unit_per_100km,amount,unit,cost_eur,co2_kg,time_min,avg_kmh,mountain_amount,mountain_cost_eur,mountain_pct,curve_amount,curve_cost_eur,curve_time_min,work_climb_pct,work_aero_pct,work_roll_pct,work_accel_pct
arnbruck,Route A — via Arnbruck (Zellertal & Eck pass),55.07,Toyota Auris Hybrid 1.8 (2016),Full hybrid (petrol),4.67,L/100km,2.57,L,4.6,5.97,51.6,64.1,0.47,0.83,18.1,0.07,0.13,2.8,34.5,19.3,15.4,40.6
arnbruck,Route A — via Arnbruck (Zellertal & Eck pass),55.07,VW ID.3 (58 kWh),Battery-electric,19.88,kWh/100km,10.95,kWh,4.38,3.83,51.6,64.1,2.18,0.87,19.9,0.28,0.11,2.8,36.1,15.0,16.0,42.6
arnbruck,Route A — via Arnbruck (Zellertal & Eck pass),55.07,Fiat Panda 1.2 (2016),Petrol (no hybrid),6.16,L/100km,3.39,L,6.07,7.87,51.6,64.1,0.5,0.89,14.7,0.26,0.46,2.8,30.5,27.4,16.4,35.9
arnbruck,Route A — via Arnbruck (Zellertal & Eck pass),55.07,"Opel (2005, Kadett-class small petrol)",Petrol (older tech),7.56,L/100km,4.16,L,7.45,9.66,51.6,64.1,0.61,1.09,14.6,0.32,0.58,2.8,30.3,25.6,18.6,35.7
arnbruck,Route A — via Arnbruck (Zellertal & Eck pass),55.07,Mercedes C-Class diesel (typical),Diesel (mid-size),6.04,L/100km,3.33,L,5.62,8.81,51.6,64.1,0.64,1.09,19.3,0.33,0.56,2.8,35.3,16.3,16.5,41.6
koetzting,Route B — via Viechtach & Bad Kötzting,65.76,Toyota Auris Hybrid 1.8 (2016),Full hybrid (petrol),4.41,L/100km,2.9,L,5.19,6.73,62.0,63.6,0.47,0.84,16.3,0.03,0.06,2.3,33.5,20.3,16.5,38.2
koetzting,Route B — via Viechtach & Bad Kötzting,65.76,VW ID.3 (58 kWh),Battery-electric,18.8,kWh/100km,12.36,kWh,4.94,4.33,62.0,63.6,2.22,0.89,17.9,0.14,0.05,2.3,35.2,15.8,17.0,40.2
koetzting,Route B — via Viechtach & Bad Kötzting,65.76,Fiat Panda 1.2 (2016),Petrol (no hybrid),5.75,L/100km,3.78,L,6.77,8.77,62.0,63.6,0.49,0.88,13.0,0.14,0.25,2.3,29.3,29.1,17.6,33.5
koetzting,Route B — via Viechtach & Bad Kötzting,65.76,"Opel (2005, Kadett-class small petrol)",Petrol (older tech),7.06,L/100km,4.64,L,8.31,10.77,62.0,63.6,0.6,1.07,12.9,0.17,0.31,2.3,29.2,27.3,19.9,33.2
koetzting,Route B — via Viechtach & Bad Kötzting,65.76,Mercedes C-Class diesel (typical),Diesel (mid-size),5.59,L/100km,3.67,L,6.21,9.73,62.0,63.6,0.67,1.12,18.1,0.21,0.35,2.3,34.3,17.2,17.6,39.2
bodenmais,Route C — via Bodenmais,64.15,Toyota Auris Hybrid 1.8 (2016),Full hybrid (petrol),4.32,L/100km,2.77,L,4.97,6.44,61.3,62.8,0.46,0.81,16.4,0.02,0.03,2.4,36.7,20.8,17.1,35.8
bodenmais,Route C — via Bodenmais,64.15,VW ID.3 (58 kWh),Battery-electric,18.46,kWh/100km,11.84,kWh,4.74,4.15,61.3,62.8,2.14,0.86,18.0,0.07,0.03,2.4,38.6,16.0,17.5,37.7
bodenmais,Route C — via Bodenmais,64.15,Fiat Panda 1.2 (2016),Petrol (no hybrid),5.59,L/100km,3.59,L,6.42,8.32,61.3,62.8,0.48,0.85,13.3,0.11,0.2,2.4,32.2,29.8,18.3,31.3
bodenmais,Route C — via Bodenmais,64.15,"Opel (2005, Kadett-class small petrol)",Petrol (older tech),6.86,L/100km,4.4,L,7.88,10.21,61.3,62.8,0.58,1.04,13.2,0.14,0.25,2.4,32.0,27.9,20.9,31.1
bodenmais,Route C — via Bodenmais,64.15,Mercedes C-Class diesel (typical),Diesel (mid-size),5.41,L/100km,3.47,L,5.86,9.2,61.3,62.8,0.65,1.1,18.8,0.15,0.25,2.4,37.6,17.4,18.2,36.8
regen,Route D — via Regen (B11 valley),66.5,Toyota Auris Hybrid 1.8 (2016),Full hybrid (petrol),4.42,L/100km,2.94,L,5.27,6.82,59.0,67.6,0.48,0.86,16.4,0.04,0.07,2.6,41.8,20.7,16.1,32.9
regen,Route D — via Regen (B11 valley),66.5,VW ID.3 (58 kWh),Battery-electric,18.82,kWh/100km,12.51,kWh,5.01,4.38,59.0,67.6,2.27,0.91,18.1,0.15,0.06,2.6,44.0,15.7,16.3,34.7
regen,Route D — via Regen (B11 valley),66.5,Fiat Panda 1.2 (2016),Petrol (no hybrid),5.66,L/100km,3.76,L,6.74,8.73,59.0,67.6,0.5,0.9,13.3,0.16,0.29,2.6,36.6,30.0,17.2,28.7
regen,Route D — via Regen (B11 valley),66.5,"Opel (2005, Kadett-class small petrol)",Petrol (older tech),6.94,L/100km,4.61,L,8.26,10.71,59.0,67.6,0.61,1.1,13.3,0.2,0.36,2.6,36.4,28.2,19.6,28.6
regen,Route D — via Regen (B11 valley),66.5,Mercedes C-Class diesel (typical),Diesel (mid-size),5.48,L/100km,3.65,L,6.16,9.66,59.0,67.6,0.74,1.25,20.4,0.23,0.38,2.6,42.9,17.2,17.0,33.8
